ID,animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
45,lion,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
46,lobster,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Invertebrate
47,lynx,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
48,mink,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,Mammal
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,Mammal
50,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
51,moth,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,Bug
52,newt,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,Amphibian
53,octopus,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,Invertebrate
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,Mammal
55,oryx,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,Bird
57,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Bird
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,Bird
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,Bird
60,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
62,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,Mammal
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,Mammal
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,Mammal
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,Mammal
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,Bird
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,Invertebrate
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mammal
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,Mammal
76,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile
77,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,Bird
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,Bird
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,Bird
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,Mammal
85,starfish,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Invertebrate
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,Bird
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Bug
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,Amphibian
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,Reptile
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,Reptile
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,Mammal
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,Mammal
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,Bird
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
97,wasp,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,Bug
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,Bird
